,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2021-06-30,7.2,8.64,7.2,8.64,183202.0,1624614.0,40100000.0,0.004568628428927681
1,2021-07-01,9.51,9.51,9.51,9.51,61550.0,601344.0,40100000.0,0.0015349127182044888
2,2021-07-02,10.46,10.46,10.46,10.46,113785.0,1223189.0,40100000.0,0.0028375311720698253
3,2021-07-05,11.51,11.51,11.51,11.51,220494.0,2608444.0,40100000.0,0.0054986034912718204
4,2021-07-06,12.66,12.66,12.66,12.66,310660.0,4041687.0,40100000.0,0.00774713216957606
5,2021-07-07,13.92,13.92,13.92,13.92,303622.0,4344831.0,40100000.0,0.007571620947630923
6,2021-07-08,15.32,15.32,15.32,15.32,197204.0,3103991.0,40100000.0,0.00491780548628429
7,2021-07-09,16.84,16.84,16.84,16.84,2075464.0,35926282.0,40100000.0,0.051757206982543644
8,2021-07-12,18.53,18.53,18.53,18.53,487804.0,9287788.0,40100000.0,0.012164688279301745
9,2021-07-13,20.38,20.38,20.38,20.38,488772.0,10234886.0,40100000.0,0.012188827930174563
10,2021-07-14,22.41,22.41,22.41,22.41,417126.0,9606412.0,40100000.0,0.01040214463840399
11,2021-07-15,24.65,24.65,24.65,24.65,9067629.0,229683043.0,40100000.0,0.2261254114713217
12,2021-07-16,25.09,27.11,24.89,27.11,27123811.0,743337765.0,40100000.0,0.6764042643391521
13,2021-07-19,24.39,24.39,24.39,24.39,1859800.0,46625186.0,40100000.0,0.04637905236907731
14,2021-07-20,21.95,21.95,21.95,21.95,2022900.0,45636624.0,40100000.0,0.05044638403990025
15,2021-07-21,20.46,22.81,20.41,20.82,26313335.0,571003845.0,40100000.0,0.6561928927680798
16,2021-07-22,19.45,20.67,19.15,20.05,19872685.0,403495853.0,40100000.0,0.4955781795511222
17,2021-07-23,19.68,19.79,18.18,18.27,16847534.0,328820207.0,40100000.0,0.4201380049875312
18,2021-07-26,18.05,19.65,17.55,18.74,15454238.0,292255439.0,40100000.0,0.38539246882793016
19,2021-07-27,18.34,18.49,16.86,16.93,13169551.0,240175001.0,40100000.0,0.3284177306733167
20,2021-07-28,16.73,17.63,16.26,16.42,9588088.0,165929142.0,40100000.0,0.23910443890274313
21,2021-07-29,16.54,17.29,16.34,16.8,8860657.0,152276214.0,40100000.0,0.22096401496259352
22,2021-07-30,16.71,17.64,16.65,17.15,10512066.0,186477601.0,40100000.0,0.26214628428927683
23,2021-08-02,17.2,17.22,16.18,16.77,9050220.0,154079527.0,40100000.0,0.22569127182044887
24,2021-08-03,16.64,17.02,15.76,15.9,8737369.0,147070296.0,40100000.0,0.2178895012468828
25,2021-08-04,15.96,16.24,15.46,16.24,8252227.0,134350112.0,40100000.0,0.2057911970074813
26,2021-08-05,15.91,17.01,15.68,16.71,11658648.0,196485668.0,40100000.0,0.2907393516209476
27,2021-08-06,16.43,18.28,16.09,17.73,15303716.0,271427164.0,40100000.0,0.3816388029925187
28,2021-08-09,17.35,19.46,17.23,18.4,15320028.0,292169720.0,40100000.0,0.38204558603491273
29,2021-08-10,18.52,18.78,17.52,17.89,11006413.0,201879589.0,40100000.0,0.2744741396508728
30,2021-08-11,17.89,19.35,17.71,18.39,14103020.0,268947765.0,40100000.0,0.35169625935162097
31,2021-08-12,18.24,18.39,17.54,17.82,10087900.0,184663422.0,40100000.0,0.251568578553616
32,2021-08-13,17.72,19.6,17.52,19.6,6386855.0,126179365.0,40100000.0,0.15927319201995013
33,2021-08-16,21.55,21.55,20.97,21.55,7134216.0,157663130.0,40100000.0,0.17791062344139652
34,2021-08-17,23.65,23.71,22.38,23.71,8022591.0,193623603.0,40100000.0,0.20006461346633417
35,2021-08-18,25.3,26.09,24.74,26.09,5703957.0,150237944.0,40100000.0,0.14224331670822943
36,2021-08-19,28.22,28.7,23.48,23.48,22587792.0,603681999.0,40100000.0,0.5632865835411471
37,2021-08-20,21.13,21.13,21.13,21.13,2601900.0,56513268.0,40100000.0,0.0648852867830424
38,2021-08-23,19.21,21.79,19.2,20.41,20770643.0,432101891.0,40100000.0,0.5179711471321696
39,2021-08-24,19.56,20.42,19.36,19.78,15820505.0,322175800.0,40100000.0,0.39452630922693266
40,2021-08-25,19.78,21.76,19.51,21.76,15250726.0,322401263.0,40100000.0,0.3803173566084788
41,2021-08-26,21.85,23.61,20.71,22.21,20844254.0,473437468.0,40100000.0,0.5198068329177057
42,2021-08-27,21.99,22.06,20.44,20.95,13442921.0,293634769.0,40100000.0,0.3352349376558604
43,2021-08-30,20.97,21.69,20.14,21.44,11781268.0,255001458.0,40100000.0,0.29379720698254363
44,2021-08-31,21.19,21.19,20.05,20.32,9781752.0,206559428.0,40100000.0,0.2439339650872818
45,2021-09-01,20.31,20.94,19.41,19.42,8869280.0,181787310.0,40100000.0,0.2211790523690773
46,2021-09-02,18.96,20.32,18.11,20.12,9944730.0,199608139.0,40100000.0,0.2479982543640898
